X, sigma
.0085,.0151
.0171,.0339
.0109,.0114
.192,.5998
.0142,.015
.0132,.0146
.0241,.0346
6.2988,1.9753
.0184,.0362
.0141,.0173
.0345,.0253
18,23
.0075,.0112
.9263,2.4904
.0023,.0172
.0326,.0177
.0312,.0155
.0698,.047
.002,.029
.0292,.0387
.2508,1.29047
.063,.063
.824,.404
.917,.514
.004,.027
2.127,.873
.222,.117
.347,.095
.64,.158163265306122
.39,.127551020408163
.08,.173469387755102
.48,.122448979591837
.66,.219387755102041
.71,.214285714285714
.47,.147959183673469
.75,.229591836734694
.51,.352040816326531
.04,.188775510204082
.44,.255102040816327
.13,.107142857142857
.09,.224489795918367
.71,.209183673469388
.5600000000000001,.224489795918367
.09,.193877551020408
.1,.280612244897959
.65,.214285714285714
.9383,.0329
.2288,.0101
.3672,.0112
.2913,.0306
.3484,.0117
.6344,.0124
.5709,.01
.589,.0099
.8751,.0281
.3683,.0119
.6182,.0132
.0202,.0134
.41,.196
.413,.198
1.158,.489
.2,.09
.21,.08
.1,.01
.1,.1
.2,.08
.21,.08
.108,.044
.125,.043
.26,.073
.234,.076
.149,.041
.035,.03
.142,.044
.097,.052
.243,.06
.215,.069
.115,.243
.133,.043
.097,.039
.003,.037
.175,.0763
.146,.0462
.144,.0516
.135,.0703
.178,.0619
.106,.0454
2.529,1.148
2.037,.637
2.41,1.164
2.786,1.204
1.196,1.592
1.457,1.24
1.336,1.626
1.65,.636
2.142,1.172
1.751,.904
2.246,1.182
2.41,1.164
.115,.627
4.809,1.531
.537,.267
.018,.088
8.287000000000001,3.157
9.218999999999999,3.353
10.117,3.682
.031,.091
8.917,3.548
7.599,3.301
8.907,3.443
.083,.091
.5570000000000001,.155
.152,.196
.697,.131
.741,.162
.344,.197
.639,.143
.304,.167
.846,.145
.383,.196
.446,.16
.4,.18
.235,.201
.825,.129
.786,.131
2.089,1.441
3.567,1.443
2.339,1.083
1.5,1.141
2.252,1.863
2.864,1.144
.95,1.885
.032,.023
.177,.077
.134,.084
.07,.104
.058,.05
.167,.055
.288,.079
.232,.112
1.399,.592
.064,.012
.047,.137
.163,.043
.072,.021
.038,.007
.038,.021
.146,.055
.027,.045
.104,.029
.128,.833
.001,.033
.009,.002
.005,.012
.043,.28
.003,.003
.089,.045
.008,.768
.154,.364
.004,.002
.003,.003
.016,.1
.003,.002
.08,.029
.0075,.0028
.005,.001
.002,.002
.027,.057
.1332,.0236
.1181,.0208
.169,.0305
.173,.0287
.1316,.0147
.064,.0144
.0507,.0213
.0018,.0017
.0247,.0027
.0041,.0009
.1291,.0196
.021,.0025
.02,.0022
.0084,.0009
.0195,.0021
.0068,.0012
.355,.08372642
.169,.03112339
.394,.07419962
.075,.008
.258,.0585034
.109,.008
.299,.05236427
.178,.03852814
.321,.08991597
.37,.10136986
.204,.03013294
.373,.14570312
.18,.06081081
.232,.04566929
.202,.01351171
.237,.07053571
.328,.06271511
.112,.008
.246,.0314578
.288,.06063158
.05,.005
1.019,.15462822
.259,.10318725
.46,.10176991
2.94,1.219917
1.126,.51651376
1.251,.51694215
.993,.49899497
.005,.00454545
.005,.00274725
1.003,.5040201
4.48,1.8902954
2.128,.68645161
1.076,.54619289
1.366,.62949309
3.61,.96782842
1.864,.80344828
.019,.00181471
.021,.00200191
5.65,1.3814181
.22,.03542673
.321,.02511737
.464,.05918367
.131,.04381271
.024,.02424242
.311,.02248735
.287,.02974093
.285,.05125899
.123,.011
.099,.007
.063,.009
.115,.009
2.588,.3235
.023,.02323232
.316,.11285714
.253,.10675105
.017,.56666667
.104,.06419753
.0152,.02666667
.088,.088
.14,.08588957
.2,.07633588
.381,.08682771
.268,.08195719
.171,.10118343
.203,.15984252
.136,.08831169
.123,.06059113
.215,.06329114
.295,.08676471
.0248,.0199
.104,.02011605
.7,.9
.0163,.0484
.0236,.048
.0257,.0108
1.34,.44
.099,.00541575
.106,.00643594
.0271,.0298
.0317,.0103
.0382,.0204
.247,.02297674
.0103,.0294
.0509,.0574
.043,.00928726
.00273,.0215
.0728,.0202
.142,.0089252
.0456,.0218
.045,.0152027
.262,.02609562
.21,.03839122
.136,.00825243
.0398,.0286
.00136,.0508
.3,.1
.273,.05311284
.0251,.0143
.083,.01255673
.011,.00789
1.18,.45
.87,.89
.28,.1
.0296,.056
.117,.0409
2.071,.463
.063,.08873239
1.62,.6899999999999999
.501,.03944882
77.67700000000001,3.873
2.81,6.5348837
.031,.02384615
.208,.0595
.33,4.2307692
.03,.01428571
.57,.04381245
.019,.0088785
.016,.00909091
3.52,.76355748
.017,.01504425
.274,.067
5.35,2.326087
.37,.15
.111,.05842105
4.861,.958
.33,.187
.054,.02317597
1.41,.6
.026,.01538462
.186,.028
.089,.03647541
.0573,.267
.052,.022
.035,.013
.35,.13
.475,.023
.041,.01
.057,.01775701
.841,.4102439
.0016,.004
.325,.05632582
.592,.296
.022,.01032864
1.17,.26
.03,.008
.0036,.007
.07,.017
.668,.3009009
.041,.024
.211,.19719626
1.474,.40163488
.108,.06067416
.177,.018
.047,.017
.041,.029
.064,.0314
.002,.025
.047,.019
.035,.054
.177,.02
8.856999999999999,4.709
.594,.186
.599,.201
10.06,5.634
.471,.214
9.936999999999999,4.36
.105,.045
.026,.074
.007,.053
.097,.056
.073,.078
.073,.092
.034,.037
.014,.043
.037,.035
.18,.026
.046,.025
1.06,.65
.428,.168
.5580000000000001,.295
.839,.412
7.748,1.978
7.585,1.986
4.155,1.168
.9,.217
238.6,241.3
2.076,.993
.441,.117
.982,.49
3.536,1.018
.459,.429
26.71,13.73
.091,.328
108.1,63.08
3.897,1.101
2.489,1.219
.51,.277
.083,.034
.668,.197
.0122,.0108
.703,.265
.13,.036
.0142,.00848
.502,2.5846362
.01,.007
.994,.32165867
.03,.011
.017,.00539
.919,.29738865
.989,.32004066
.904,.32899269
.386,.0259
.00789,.0104
.0219,.0109
1.081,.3934083
.027,.006
.967,.31292146
.027,.01
.334,.15
.396,.207
.385,.36993197
.013,.016
.435,.50390961
.105,.033
1.05,.033
.666,.37277231
8.33,.55
.861,.44309868
18.43,1.07
18.4,1.15
.3867,.197
.00221,.00399
7.3,.52
.0161,.00754
.2126,.078
.1407,.031
1.9256,.455
.00673,.00725
.392,.3925589
.00648,.00464
.04,.017
.439,.54204496
.033,.015
1.5389,.404
.05,.019
.026,.037
.3853,.196
.868,.42264173
.62,.35880993
9.050000000000001,.55
.00525,.00581
.000646,.00594
2.64,.08
.99,1.07
1.032,.37557573
1.19,.2
.232,.0887
1.46,.5
1.08,.76
168.325,83.202
1.61,.43
1.42,2.01
1.318,.59203712
.6407,.136
5.32,.38
.374,.135
5.3,.39
1.16,.57
.6387,.135
1.42,.56525415
.236,.0848
.722,.31987535
.904,.29253464
.1638,.022
2.5741,.373
.716,.30777856
1.36,1
1.365,.57701621
.226,.0814
.42,1.02
.758,.49016022
2.76,.12
.00959,.00769
.4599,.083
.296,.161
1.1,.36
.49,1.32
.061,.036
.498,.121
1.09,.55
.0391,.018
.321,.18
1.307,.97034859
1.18,.52
3.2148,.438
.636,.38893516
.0147,.0067
.282,.0768
.26,.145
.021,.006
.216,.115
.224,.1
.0251,.00805
.149,.1
.0002,.074
.07,.082
.002,.005
.122,.103
.33,.116
.118,.076
.233,.127
.107,.025
.046,.069
.188,.148
.82,.01
.058,.007
.09,.02
.039,.009
.024,.006
.46,.007
.1,.032
.089,.044
.222,.1
.00971,.00477
.126,.054
.102,.027
.016,.014
.121,.04
.072,.01
.134,.084
.048,.033
.039,.117
.067,.091
.059,.012
.075,.048
.000767,.00562
.038,.034
.049,.111
.111,.034
.012,.002
.144,.061
.039,.008
.016,.077
.0288,.0151
.057,.012
.057,.026
.96,.15
.91,.16
69403,50468
.048,.02
8.003,3.485
1.83,.34
.0007,.008
.007,.008
.003,.01
.01,.006
.013,.01
2.076,.993
.01,.006
59221,58779
.34,.04
1.82,.34
.002,.012
4.717,2.569
.018,.01
18360,53453
8.486000000000001,3.279
.022,.02
.724,.4
65.60769999999999,42.471
75.13590000000001,60.766
